iter	MultiClass
0	-1.04268238
1	-0.9937040476
2	-0.9463722449
3	-0.903450091444	-0.862960526255	-0.826277388566	-0.791183450777	-0.758118450888	-0.727938112999	-0.6983722961110	-0.6713513471111	-0.6460241781112	-0.6212901491113	-0.5981949391114	-0.5768230281115	-0.5559022211616	-0.5357616841717	-0.5168252041818	-0.4990388581919	-0.4817273462020	-0.4658475482121	-0.4499526052222	-0.4350305722323	-0.4208203322424	-0.4071259322525	-0.3943909422626	-0.3817887422727	-0.3697783222828	-0.3588243322929	-0.348145553330	-0.337326407331	-0.3273425269332	-0.3178272485333	-0.308437838
34	-0.2993066983335	-0.2908410653336	-0.2823863263337	-0.2742979383338	-0.2663786983339	-0.2590399164440	-0.2520772614441	-0.2455268994442	-0.2389448504443	-0.2327249944444	-0.2266301644545	-0.2207099944646	-0.2148787644747	-0.2093730344848	-0.2039366644949	-0.1988897750550	-0.1939140555151	-0.1889936255252	-0.1843969955353	-0.1799714555454	-0.1756835555555	-0.1715165655656	-0.1674475755757	-0.163790585558	-0.1600835595559	-0.1567378606660	-0.1532800616661	-0.1498573626662	-0.1466574636663	-0.1436062646664	-0.1406627656665	-0.1377366	-6666	-0.1347367	-6667	-0.1319268	-6668	-0.1293269	-669	-0.12676670	-770	-0.12432271	-71	-0.121959772	-72	-0.119603073	-73	-0.117292974	-74	-0.114952675	-75	-0.112781476	-76	-0.110858677	-77	-0.108801178	-78	-0.106984679	-79	-0.105177080	80	-0.1033131981	81	-0.1015715782	82	-0.0998349983	83	-0.0982089984	84	-0.09660587685	85	-0.09515110986	86	-0.09361484287	87	-0.09224034488888	-0.09074545689889	-0.08949284390990	-0.08814355891991	-0.0869138092	92	-0.08572641693	93	-0.08449177494	94	-0.0832003589595	-0.08205769209696	-0.08082544649797	-0.07968581059898	-0.07857029589999	-0.077609424810100	-0.076730048610101	-0.075727260111102	-0.074878847611103	-0.073951020911104	-0.073081442411105	-0.07234703431106	-0.071564296631107	-0.070804131391108	-0.070044563721109	-0.069327825041110	-0.068652749191111	-0.068076655811112	-0.0673024377
113	-0.06672016101
114	-0.06611727611
115	-0.06552316193
116	-0.0648540774
117	-0.06430733941
118	-0.06385425913
119	-0.06336858527
120	-0.06271048836
121	-0.06218158569
122	-0.06174305611
123	-0.06120023275
124	-0.060724991
125	-0.0602053099
126	-0.05974394657
127	-0.05947076508
128	-0.05904351484
129	-0.058732416
130	-0.05832051107
131	-0.05793954167
132	-0.05759233204
133	-0.0572459734
134	-0.05689719424
135	-0.05657938833
136	-0.05620119836
137	-0.05582573309
138	-0.05562557722
139	-0.05532178648
140	-0.05500121021
141	-0.0547366456
142	-0.05438147972
143	-0.05402988013
144	-0.05373103414
145	-0.05347061377
146	-0.05330691405
147	-0.05298517101
148	-0.05274526579
149	-0.0525212367
150	-0.0523498706
151	-0.05211450102
152	-0.05200294086
153	-0.05166587261
154	-0.05153150012
155	-0.05126801204
156	-0.05101598325
157	-0.05079277392
158	-0.05058571218
159	-0.05038789313
160	-0.05012593895
161	-0.04995309265
162	-0.04980456786
163	-0.04953596032
164	-0.04927690923
165	-0.04908434417
166	-0.04891827809
167	-0.04879358958
168	-0.04864541981
169	-0.04847869372
170	-0.04829401431
171	-0.04816540046
172	-0.04804268427
173	-0.04795194197
174	-0.04787367185
175	-0.04768874354
176	-0.04759804134
177	-0.04745116144
178	-0.04728778312
179	-0.04712104278
180	-0.04704529086
181	-0.04689446123
182	-0.04680609612
183	-0.0466815988
184	-0.0465376456
185	-0.04638867958
186	-0.04622897823
187	-0.04611573396
188	-0.04606537541
189	-0.04594692102
190	-0.04577239739
191	-0.04569298502
192	-0.04554258863
193	-0.04538756885
194	-0.04527944898
195	-0.04513091413
196	-0.04506208311
197	-0.0449352125
198	-0.04471176152
199	-0.04467669486
200	-0.04453452123
201	-0.04444714471
202	-0.04437463434
203	-0.04422989104
204	-0.04417539961
205	-0.0440756901
206	-0.04398005437
207	-0.04391216374
208	-0.04383983102
209	-0.04374973305
210	-0.04364248207
211	-0.04349216972
212	-0.04340859361
213	-0.04331379834
214	-0.04326914827
215	-0.04317604947
216	-0.04309403637
217	-0.04305430824
218	-0.04299253038
219	-0.04293578197
220	-0.04290795333
221	-0.04287016387
222	-0.042788654012223	-0.042776223042224	-0.042697366342225	-0.042673233442226	-0.042585734022227	-0.042519887472228	-0.042479586082229	-0.042444673122230	-0.042406414382231	-0.042282845832232	-0.042190782922233	-0.0421032492
234	-0.0420468209
235	-0.041982867
236	-0.04183574617
237	-0.04141865249
238	-0.04139899861
239	-0.04133540992
240	-0.04132903836
241	-0.04132267101
242	-0.04128999719
243	-0.04123233532
244	-0.041211355
245	-0.04111332319
246	-0.04101157809
247	-0.04093917683
248	-0.04090147265
249	-0.04085214746
250	-0.04078449222
251	-0.04059407832
252	-0.04051341843
253	-0.04041757217
254	-0.04036468579
255	-0.0402731597
256	-0.0401697317
257	-0.04011298375
258	-0.0400063359
259	-0.03993090033
260	-0.03986919426
261	-0.03975447954
262	-0.03973751911
263	-0.03962419895
264	-0.03960320913
265	-0.03952968508
266	-0.0394441421
267	-0.03940457428
268	-0.03936289141
269	-0.0392773906
270	-0.03907322595
271	-0.03905803091
272	-0.03892530969
273	-0.03887221669
274	-0.03884230768
275	-0.03874109593
276	-0.03859809947
277	-0.03852623581
278	-0.03847206752
279	-0.03844239192
280	-0.03842696664
281	-0.03834199469
282	-0.03828258061
283	-0.03819545929
284	-0.03815619599
285	-0.0381226935
286	-0.03810247391
287	-0.03805257161
288	-0.03803795637
289	-0.03803045744
290	-0.03799601593
291	-0.03791650742
292	-0.03791456199
293	-0.03781831564
294	-0.03775382241
295	-0.03773971145
296	-0.03754405486
297	-0.03749593738
298	-0.03744536308
299	-0.03737944859
300	-0.03731952092
301	-0.03725465174
302	-0.0371052866
303	-0.03709082978
304	-0.03691937158
305	-0.03689091308
306	-0.03683211896
307	-0.03678688708
308	-0.03677933264
309	-0.03673981179
310	-0.03664699991
311	-0.03660413482
312	-0.03656126513
313	-0.03649348039
314	-0.03645103921
315	-0.03637892835
316	-0.036328488153317	-0.0362645273
318	-0.03621644308
319	-0.03618727777
320	-0.03611420833
321	-0.03610363223
322	-0.03605616781
323	-0.03586045511
324	-0.03582169368
325	-0.035805767543326	-0.0357420534
327	-0.03566220871
328	-0.03560617555
329	-0.03551752943
330	-0.03550666119
331	-0.03546207327
332	-0.03537258638
333	-0.03536283322
334	-0.03520744462
335	-0.03515694691
336	-0.03506290187
337	-0.03500968595
338	-0.03496997824
339	-0.03495038697
340	-0.03490012621
341	-0.03475530619
342	-0.03469142251
343	-0.03464457674
344	-0.03457683102
345	-0.03449815597
346	-0.03449560378
347	-0.03447368719
348	-0.0343136733
349	-0.03426389954
350	-0.03409885046
351	-0.03401716485
352	-0.03399969861
353	-0.03393657139
354	-0.03387589081
355	-0.03383271976
356	-0.0336567179
357	-0.0336196265
358	-0.03357987954
359	-0.03353039809
360	-0.0334110255
361	-0.03333296957
362	-0.0332741876
363	-0.03316081609
364	-0.03314686821
365	-0.03311721616
366	-0.03295260616
367	-0.03291552984
368	-0.03291007064
369	-0.03288575493
370	-0.03287204854
371	-0.03281396796
372	-0.03276280158
373	-0.03271539633
374	-0.03265682924
375	-0.03258242919
376	-0.03253284521
377	-0.03252281813
378	-0.03250716322
379	-0.03243073402
380	-0.03241164599
381	-0.03236597978
382	-0.03229786053
383	-0.0322787218
384	-0.03224214448
385	-0.03223441893
386	-0.03222098046
387	-0.03220000734
388	-0.03219457315
389	-0.03216075129
390	-0.03213335243
391	-0.03210355319
392	-0.03205527197
393	-0.0320158264
394	-0.03197447451
395	-0.03189083533
396	-0.03185702548
397	-0.03183946301
398	-0.03180173168
399	-0.03175402386
400	-0.0317012775
401	-0.03166561785
402	-0.03159724384
403	-0.03154429837
404	-0.03150100295
405	-0.03147771398
406	-0.03143333528
407	-0.03129255486
408	-0.0312547387
409	-0.03124462511
410	-0.03118327954
411	-0.03111270116
412	-0.03094794542
413	-0.03091680265
414	-0.03084503363
415	-0.03080394589
416	-0.03078278582
417	-0.03069501589
418	-0.03067173412
419	-0.03066452595
420	-0.03062530603
421	-0.03054952035
422	-0.03053203749
423	-0.03050577391
424	-0.03047027944
425	-0.03045067519
426	-0.03042941132
