iter	Passed	Remaining
400	21086	5205
401	21121	5148
402	21167	5094
403	21201	5037
404	21239	4982
405	21275	4925
406	21331	4874
407	21384	4821
408	21463	4775
409	21527	4725
410	21567	4670
411	21614	4616
412	21649	4560
413	21688	4505
414	21723	4449
415	21764	4394
416	21802	4339
417	21847	4285
418	21898	4233
419	21944	4179
420	21985	4125
421	22037	4073
422	22070	4017
423	22129	3966
424	22184	3914
425	22231	3861
426	22285	3810
427	22327	3755
428	22362	3701
429	22400	3646
430	22445	3593
431	22499	3541
432	22542	3488
433	22579	3433
434	22621	3380
435	22655	3325
436	22693	3271
437	22728	3217
438	22767	3163
439	22808	3110
440	22857	3058
441	22926	3008
442	22995	2958
443	23044	2906
444	23096	2854
445	23132	2800
446	23184	2748
447	23241	2697
448	23274	2643
449	23315	2590
450	23364	2538
451	23403	2485
452	23443	2432
453	23490	2380
454	23526	2326
455	23560	2273
456	23607	2221
457	23664	2170
458	23718	2118
459	23796	2069
460	23831	2016
461	23879	1964
462	23921	1911
463	23963	1859
464	24002	1806
465	24049	1754
466	24084	1701
467	24121	1649
468	24170	1597
469	24209	1545
470	24248	1493
471	24282	1440
472	24323	1388
473	24360	1336
474	24449	1286
475	24508	1235
476	24565	1184
477	24614	1132
478	24650	1080
479	24697	1029
480	24743	977
481	24782	925
482	24818	873
483	24860	821
484	24896	770
485	24935	718
486	24972	666
487	25011	615
488	25046	563
489	25096	512
490	25143	460
491	25207	409
492	25255	358
493	25293	307
494	25331	255
495	25371	204
496	25410	153
497	25445	102
498	25485	51
499	25520	0
