iter	Logloss
0	0.5431274951
1	0.4473086373
2	0.3414128671
3	0.2719365511
4	0.2238984359
5	0.178585244
6	0.1424109076
7	0.1148326469
8	0.09779591126
9	0.08499768999
10	0.07093315352
11	0.06083609047
12	0.05230592986
13	0.04567297022
14	0.04016585072
15	0.03650987632
16	0.03356627168
17	0.03071258672
18	0.0282870585
19	0.02610795064
20	0.02447607673
21	0.02312499958
22	0.02199806977
23	0.02112389523
24	0.02021412144
25	0.0194515982
26	0.01875596779
27	0.01813093578
28	0.01762339957
29	0.01704994443
30	0.01656954831
31	0.01572659171
32	0.01545964673
33	0.01524859851
34	0.01500100761
35	0.01484529714
36	0.01463345891
37	0.01411066512
38	0.01345379552
39	0.01331501564
40	0.01320749304
41	0.01298770392
42	0.01285305508
43	0.01280404297
44	0.01240322519
45	0.01223145912
46	0.01181846724
47	0.01147925879
48	0.01113083651
49	0.01098427153
50	0.01095741152
51	0.01061423296
52	0.01056964328
53	0.01051573438
54	0.01015020995
55	0.009847916794
56	0.009834515468
57	0.009676352947
58	0.0095892991
59	0.009449616003
60	0.009162201127
61	0.008919569464
62	0.008690355006
63	0.00860321043
64	0.008556946715
65	0.008486492046
66	0.008287545336
67	0.008069741489
68	0.007880490319
69	0.007814552004
70	0.007767577349
71	0.007693175651
72	0.00757286311
73	0.007568421941
74	0.007437828683
75	0.007349530013
76	0.007190050339
77	0.007033789594
78	0.007016335593
79	0.006953686748
80	0.006950287072
81	0.006941401473
82	0.006814505413
83	0.006808178211
84	0.006739377411
85	0.006733491718
86	0.006707896493
87	0.00658827276
88	0.006560243079
89	0.00649934873
90	0.00639092559
91	0.006290252195
92	0.006278823584
93	0.006172857385
94	0.006081766086
95	0.006076186966
96	0.005984057237
97	0.005887200351
98	0.005879583092
99	0.005830352957
100	0.005770213767
101	0.005692543917
102	0.005597305032
103	0.00557115434
104	0.005524276371
105	0.005516861794
106	0.005511625656
107	0.005497999121
108	0.005470133517
109	0.005446663104
110	0.005377365895
111	0.005353813026
112	0.005318650883
113	0.005282982538
114	0.005238176654
115	0.005184044659
116	0.005182544506
117	0.005124389793
118	0.005122865372
119	0.005114486162
120	0.00509099091
121	0.0050898706
122	0.005064671425
123	0.005042105557
124	0.005018946878
125	0.004981641912
126	0.004964736752
127	0.004907649275
128	0.004834908253
129	0.004834063454
130	0.004831894065
131	0.00478426102
132	0.004772463186
133	0.004761624565
134	0.004748958435
135	0.004694096529
136	0.00464123593
137	0.004641187354
138	0.004587028189
139	0.004572833604
140	0.004528546476
141	0.004484701324
142	0.004464651938
143	0.0044574957
144	0.004445432273
145	0.004444312111
146	0.004427432067
147	0.004426917333
148	0.004357385624
149	0.00435310132
150	0.004302988243
151	0.004224703711
152	0.004218800399
153	0.004214981466
154	0.004155247515
155	0.004094444954
156	0.004092588737
157	0.00405117022
158	0.004018982584
159	0.004013884289
160	0.003945676553
161	0.003939130122
162	0.00393330841
163	0.003932871379
164	0.00393273628
165	0.003929658857
166	0.003894332481
167	0.003840900114
168	0.003801252382
169	0.003800866007
170	0.003752716848
171	0.003750004534
172	0.003725050523
173	0.003706864759
174	0.003706160729
175	0.003705685871
176	0.003681601692
177	0.00364877408
178	0.003642593736
179	0.003636656834
180	0.003594797622
181	0.003559857882
182	0.003555434257
183	0.003538986062
184	0.003511305027
185	0.003508191764
186	0.003480522166
187	0.003454380884
188	0.00342045987
189	0.003404550615
190	0.003378267942
191	0.003373457208
192	0.003368213653
193	0.003344142671
194	0.003324442908
195	0.003312068281
196	0.003294666967
197	0.003276213752
198	0.003248038419
199	0.00323625533
200	0.003219752756
201	0.003218860388
202	0.003202084657
203	0.003184496474
204	0.003172127704
205	0.003158075683
206	0.003140716106
207	0.00310483098
208	0.003076925883
209	0.003046914108
210	0.003016363369
211	0.002974811818
212	0.002959121517
213	0.002958529158
214	0.002942887598
215	0.002935189763
216	0.002913777157
